序号,公开(公告)号,标题,摘要,当前申请(专利权)人地市,当前申请(专利权)人州/省,当前申请(专利权)人,原始申请(专利权)人,申请日,IPC主分类号(小组),IPC主分类号(小组)释义,被引用专利,引用专利,5年内被引用数量,3年内被引用数量,Patsnap同族专利申请数量,专利类型,许可人,被许可人,法律状态/事件,当前申请(专利权)人区县,预估到期日,受理局,摘要(译)(简体中文),标题(译)(简体中文),IPC主分类号(大组)释义,IPC主分类号(大组),IPC主分类号(小类),IPC主分类号(小类)释义,授权日
,CN100336633C,双腿步行式移动装置及其步行控制装置,根据步态数据对双腿步行式移动装置的各腿部的各关节驱动马达(15L、15R～20L、20R)进行驱动控制的双腿步行式移动装置的步行控制装置(30)，包括检测施加在各脚部(14L、14R)脚底上的力的力检测部(23L、23R)和根据力检测部检测出的力修正由步态生成部(24)生成的步态数据的补偿部(32)，各力检测部(23L、23R)由从各脚部(14L、14R)脚底向下方突出的至少三个三轴力传感器构成，补偿部(32)根据检测有效力的三个三轴力传感器(36a、36b和36c)的检测信号进行步态数据的修正，如此构成步行控制装置(30)，即使在具有复杂凹凸的不稳定路面状况下，也能实现机器人步行的稳定性。,-,-,独立行政法人科学技术振兴机构,独立行政法人科学技术振兴机构,2003/2/7,B25J5/00,装在车轮上或车厢上的机械手（B25J1/00优先；程序控制机械手入B25J9/00）[2006.01],-,CN1297805A | JP1993305583A | JP1997212203A | JP2000254888A | US5151859A | US5255753A | US5455497A | WO2001074546A1 | WO2001087548A1,0,0,8,授权发明,-,-,未缴年费,-,2023/2/7,中国,根据步态数据对双腿步行式移动装置的各腿部的各关节驱动马达(15L、15R～20L、20R)进行驱动控制的双腿步行式移动装置的步行控制装置(30)，包括检测施加在各脚部(14L、14R)脚底上的力的力检测部(23L、23R)和根据力检测部检测出的力修正由步态生成部(24)生成的步态数据的补偿部(32)，各力检测部(23L、23R)由从各脚部(14L、14R)脚底向下方突出的至少三个三轴力传感器构成，补偿部(32)根据检测有效力的三个三轴力传感器(36a、36b和36c)的检测信号进行步态数据的修正，如此构成步行控制装置(30)，即使在具有复杂凹凸的不稳定路面状况下，也能实现机器人步行的稳定性。,双腿步行式移动装置及其步行控制装置,装在车轮上或车厢上的机械手（B25J1/00优先；程序控制机械手入B25J9/00）[2006.01],B25J5,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2007/9/12
,CN100337580C,视觉检查用图表,本发明为提供一种视觉检查用图表(2)，它将多个由至少2种及2种以上的颜色组合的花样所形成的视标，进行左右对称配置，进行视觉检查用的图表，排列多个中间配置有圆形视标(4)的正方形格子(32)，将整体形成机器人形的格子视标(3)配置于其中央部。在格子视标(3)的中心配置着固定视标(41)，前述圆形视标(4)的纵条纹花样由相互为互补色关系的两种颜色色形成。另外，在格子视标(3)的周围，配置多个条纹花样的方形并排成黑白相间方格花标形成带状的带状视标(5)，在其左右配置马里奥特盲点测定用的盲点视标(6)，在其周边配置盲点周边视标(62)。再有，视觉检查用图表(2)在其上下左右端部配置多个并列的由“日”字形与“O”字形所形成的中空图形的并列视标(7)，在四角配置由2个图形接近配置的大型方形视标(8)。利用视觉检查用图表(2)，对于以往的对各检查项目使用大型的检查装置等而又费力与费时的视觉障碍与变视症、色觉异常等的视觉检查，可以利用本发明同时而且简便地实施。,-,Iwate Prefecture,铃木武敏,铃木武敏,2002/8/23,A61B3/06,.. 用于测试光敏度的，例如自适应；用于测试色视觉的[2006.01],-,CN1080835A | JP1986144516A | JP1989036483U | JP1990029325A | JP1992012730A | JP1993088501A | JP1993168593A | JP1994237895A | JP1999009550A | JP1999032991A | US5270750A,0,0,13,授权发明,-,-,未缴年费,-,2022/8/23,中国,本发明为提供一种视觉检查用图表(2)，它将多个由至少2种及2种以上的颜色组合的花样所形成的视标，进行左右对称配置，进行视觉检查用的图表，排列多个中间配置有圆形视标(4)的正方形格子(32)，将整体形成机器人形的格子视标(3)配置于其中央部。在格子视标(3)的中心配置着固定视标(41)，前述圆形视标(4)的纵条纹花样由相互为互补色关系的两种颜色色形成。另外，在格子视标(3)的周围，配置多个条纹花样的方形并排成黑白相间方格花标形成带状的带状视标(5)，在其左右配置马里奥特盲点测定用的盲点视标(6)，在其周边配置盲点周边视标(62)。再有，视觉检查用图表(2)在其上下左右端部配置多个并列的由“日”字形与“O”字形所形成的中空图形的并列视标(7)，在四角配置由2个图形接近配置的大型方形视标(8)。利用视觉检查用图表(2)，对于以往的对各检查项目使用大型的检查装置等而又费力与费时的视觉障碍与变视症、色觉异常等的视觉检查，可以利用本发明同时而且简便地实施。,视觉检查用图表,测试眼睛的设备；检查眼睛的仪器（用超声波、声波或次声波检查眼睛入A61B8/10）[2006.01],A61B3,A61B,诊断；手术；识别（仅限于动物的用途入A61D）,2007/9/19
,CN100339871C,环境识别设备及方法、路径规划设备及方法以及机器人,一种环境识别设备和一种环境识别方法，能够绘制一个环境地图，所述地图用于判断是否可以移动到一个发现有一个或多个高于或低于地面的台阶的区域，以及一种路径规划设备和一种路径规划方法，能够利用这种环境地图适当地规划一个移动路径，和一种装配有这种环境识别设备及路径规划设备的机器人。该机器人包括一个环境识别部分，它包括多个适于从视差图像或距离图像中计算平面参数并提取包括地面在内的多个平面的平面提取部分401，一个适于识别包括地面在内的多个平面上的障碍物的障碍物识别部分402，和一个环境地图更新部分403，适于基于障碍物识别部分402的识别结果为每个平面绘制环境地图(障碍物地图)并更新当前环境地图，以及一个路径规划部分404，它适于基于这些环境地图产生路径规划。当在地面环境地图中的一个平面上发现一个障碍物但在该平面环境地图上没有发现障碍物时，该路径规划部分404将该平面选择为路径候选。,-,-,索尼株式会社,索尼株式会社,2004/9/17,G06T7/00,图像分析[2017.01],-,CN1161268A | CN1230478A | JP1984079377A | JP1985200314A | JP1985217412A | JP1992365104A | JP1993223549A | JP1999265454A | JP2003256811A | JP2003329129A | US20010024514A1 | US5378969A,0,0,4,授权发明,-,-,未缴年费,-,2024/9/17,中国,一种环境识别设备和一种环境识别方法，能够绘制一个环境地图，所述地图用于判断是否可以移动到一个发现有一个或多个高于或低于地面的台阶的区域，以及一种路径规划设备和一种路径规划方法，能够利用这种环境地图适当地规划一个移动路径，和一种装配有这种环境识别设备及路径规划设备的机器人。该机器人包括一个环境识别部分，它包括多个适于从视差图像或距离图像中计算平面参数并提取包括地面在内的多个平面的平面提取部分401，一个适于识别包括地面在内的多个平面上的障碍物的障碍物识别部分402，和一个环境地图更新部分403，适于基于障碍物识别部分402的识别结果为每个平面绘制环境地图(障碍物地图)并更新当前环境地图，以及一个路径规划部分404，它适于基于这些环境地图产生路径规划。当在地面环境地图中的一个平面上发现一个障碍物但在该平面环境地图上没有发现障碍物时，该路径规划部分404将该平面选择为路径候选。,环境识别设备及方法、路径规划设备及方法以及机器人,图像分析[2017.01],G06T7,G06T,一般的图像数据处理或产生[2006.01],2007/9/26
,CN100344419C,双腿步行式人形机器人,本发明涉及的双腿步行式人形机器人，具有使各关节部摆动的驱动电动机(11d、11e、18L、18R～24L、24R、28L、28R～33L、33R、35、36)和驱动控制各电动机的动作控制装置(40)，动作控制装置(40)比较由检测当前的机器人的姿势等的检测部(45)检测出的当前的机器人的姿势和从外部输入的下一动作指令，在下一动作指令对于当前的机器人的姿势等处于稳定极限内的时候，产生与从当前姿势到下一动作指令的初始姿势的中间动作相关的插补数据、和与下一动作指令相对应的动作数据，根据插补数据和动作数据驱动控制各驱动电动机，可顺畅且连续地进行多样动作。最好是具备存储姿势数据的动作库(41a)，该姿势数据由成为机器人的动作要素的基本动作的时序数据以及算法构成，从动作库读取对应的姿势数据，作为组合动作的序列生成插补数据和动作数据。,-,-,独立行政法人科学技术振兴机构,独立行政法人科学技术振兴机构,2003/2/7,B25J13/00,机械手的控制装置（程序控制入B25J9/16）[2006.01],CN102310406A ,CN1297805A | EP1018467A1 | JP1993062363A | JP1993233052A | JP1995205069A | JP1997193060A | JP1998086081A | JP1998217161A | JP1999320460A | JP2001212775A | JP2001277163A | US5432417A,2,2,7,授权发明,-,-,未缴年费,-,2023/2/7,中国,本发明涉及的双腿步行式人形机器人，具有使各关节部摆动的驱动电动机(11d、11e、18L、18R～24L、24R、28L、28R～33L、33R、35、36)和驱动控制各电动机的动作控制装置(40)，动作控制装置(40)比较由检测当前的机器人的姿势等的检测部(45)检测出的当前的机器人的姿势和从外部输入的下一动作指令，在下一动作指令对于当前的机器人的姿势等处于稳定极限内的时候，产生与从当前姿势到下一动作指令的初始姿势的中间动作相关的插补数据、和与下一动作指令相对应的动作数据，根据插补数据和动作数据驱动控制各驱动电动机，可顺畅且连续地进行多样动作。最好是具备存储姿势数据的动作库(41a)，该姿势数据由成为机器人的动作要素的基本动作的时序数据以及算法构成，从动作库读取对应的姿势数据，作为组合动作的序列生成插补数据和动作数据。,双腿步行式人形机器人,机械手的控制装置（程序控制入B25J9/16）[2006.01],B25J13,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2007/10/24
,CN100346941C,机器人及机器人的姿态控制方法,机器人可移动部分的运动采取周期运动，以便机器人的姿态通过调节可移动部分的移动而在广义上得到稳定的控制。更具体地，一个或多个相位发生器用于机器人系统，且根据产生的相位来选择多个控制器中的一个。接着，控制器根据连续相位信息控制可移动部分的驱动。此外，实际相位根据物理系统而估计，相位发生器的频率和相位通过利用估计值来进行调节，同时机器人系统的物理相位和相位发生器受到交互诱导，因此可以通过有效地利用机器人的动态特性来控制机器人的运动。,-,-,索尼株式会社 | 株式会社国际电气通信基础技术研究所,索尼株式会社 | 株式会社国际电气通信基础技术研究所,2004/8/25,B25J13/00,机械手的控制装置（程序控制入B25J9/16）[2006.01],-,CN1085577C | CN1304345A | CN1392826A | JP2001246579A | JP2003300521A | JP2004234022A,0,0,6,授权发明,-,-,未缴年费,-,2024/8/25,中国,机器人可移动部分的运动采取周期运动，以便机器人的姿态通过调节可移动部分的移动而在广义上得到稳定的控制。更具体地，一个或多个相位发生器用于机器人系统，且根据产生的相位来选择多个控制器中的一个。接着，控制器根据连续相位信息控制可移动部分的驱动。此外，实际相位根据物理系统而估计，相位发生器的频率和相位通过利用估计值来进行调节，同时机器人系统的物理相位和相位发生器受到交互诱导，因此可以通过有效地利用机器人的动态特性来控制机器人的运动。,机器人及机器人的姿态控制方法,机械手的控制装置（程序控制入B25J9/16）[2006.01],B25J13,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2007/11/7
,CN100352622C,机器人设备、信息处理方法和程序,提供能够将与接入点的通信状态通知给用户的机器人设备、信息处理方法以及程序。机器人(5)根据用户指令和周围环境自动决定动作。根据IEEE802.11b，人形机器人(5)与接入点(2)通信，并且经由例如网络(3)，控制家庭电器(4-1)，以及从个人计算机(4-2)接收指令来执行预定的处理。机器人(5)周期地计算与接入点(2)的通信质量，并且在通信质量低于预定级别已经持续一预定时期段的情况下，发出“我看不见接入点。我应该做什么？”在那以后机器人进入等待用户指令的状态。当用户发出指令时，机器人根据指令采取动作。,,-,索尼株式会社,索尼株式会社,2004/3/18,B25J13/00,机械手的控制装置（程序控制入B25J9/16）[2006.01],-,CN1299083A | EP0522200A2 | EP1091273A2 | JP2001191279A | US6147598A,0,0,7,授权发明,-,-,未缴年费,-,2024/3/18,中国,提供能够将与接入点的通信状态通知给用户的机器人设备、信息处理方法以及程序。机器人(5)根据用户指令和周围环境自动决定动作。根据IEEE802.11b，人形机器人(5)与接入点(2)通信，并且经由例如网络(3)，控制家庭电器(4-1)，以及从个人计算机(4-2)接收指令来执行预定的处理。机器人(5)周期地计算与接入点(2)的通信质量，并且在通信质量低于预定级别已经持续一预定时期段的情况下，发出“我看不见接入点。我应该做什么？”在那以后机器人进入等待用户指令的状态。当用户发出指令时，机器人根据指令采取动作。,机器人设备、信息处理方法和程序,机械手的控制装置（程序控制入B25J9/16）[2006.01],B25J13,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2007/12/5
,CN100364728C,有腿移动式机器人的动作控制装置和动作控制方法以及机器人装置,一种有腿移动式机器人，当施加在它上面的外力或外力矩过高且不能设计脚部动作时将放弃正常行走动作并开始跌倒动作。这时，身体的支承多边形的面积S随时间t的变化量ΔS/Δt最小，且当身体落在地板上时，支承多边形增至最大，以将身体落在地板上时由地板作用在身体上的冲击分散到整个身体上，从而使得对身体的损害减至最小。而且，该有腿移动式机器人能自己从地板姿势例如仰卧姿势或俯卧姿势返回站立姿势。,-,-,索尼公司 | 山口仁一,索尼公司 | 山口仁一,2003/3/17,B25J5/00,装在车轮上或车厢上的机械手（B25J1/00优先；程序控制机械手入B25J9/00）[2006.01],-,CN1274310A | CN1297805A | JP1993305579A | JP1993305581A | JP1993305583A | JP1993305585A | JP1993305586A | JP1999048170A | JP2000299970A | JP2001062760A | JP2001157972A | US5929585A | US6064167A,0,0,12,授权发明,-,-,期限届满,-,2023/3/17,中国,一种有腿移动式机器人，当施加在它上面的外力或外力矩过高且不能设计脚部动作时将放弃正常行走动作并开始跌倒动作。这时，身体的支承多边形的面积S随时间t的变化量ΔS/Δt最小，且当身体落在地板上时，支承多边形增至最大，以将身体落在地板上时由地板作用在身体上的冲击分散到整个身体上，从而使得对身体的损害减至最小。而且，该有腿移动式机器人能自己从地板姿势例如仰卧姿势或俯卧姿势返回站立姿势。,有腿移动式机器人的动作控制装置和动作控制方法以及机器人装置,装在车轮上或车厢上的机械手（B25J1/00优先；程序控制机械手入B25J9/00）[2006.01],B25J5,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2008/1/30
,CN100376364C,人形机器人的脚部结构及具有该脚部结构的机器人,本发明提供一种人形机器人的脚部结构，其在暂停状态或行动时能够有效地保持平衡。所述脚部结构包括一支撑物；多个使上部元件与所述支撑物底部相连的下构件；具有多个独立部位的多个下部元件，每个都与上部元件相连；用于连接上部元件和下部元件的旋转接头。由于脚部结构和地面进行平稳接触，阻止将冲击传递到人形机器人的躯干部。减少人形机器人踏在地面上时所产生的振动，从而使人形机器人可以摆出稳定和平稳步态。,-,-,三星电子株式会社,三星电子株式会社,2005/1/21,B25J13/00,机械手的控制装置（程序控制入B25J9/16）[2006.01],CN105339105A | CN105339105B | CN106080811A | CN106080811B | TWI418480B,CN1297805A | JP1993293776A | JP2003205484A | JP2003266337A | JP2003266362A | US6377014B1 | US6580969B1,1,1,4,授权发明,-,-,未缴年费,-,2025/1/21,中国,本发明提供一种人形机器人的脚部结构，其在暂停状态或行动时能够有效地保持平衡。所述脚部结构包括一支撑物；多个使上部元件与所述支撑物底部相连的下构件；具有多个独立部位的多个下部元件，每个都与上部元件相连；用于连接上部元件和下部元件的旋转接头。由于脚部结构和地面进行平稳接触，阻止将冲击传递到人形机器人的躯干部。减少人形机器人踏在地面上时所产生的振动，从而使人形机器人可以摆出稳定和平稳步态。,人形机器人的脚部结构及具有该脚部结构的机器人,机械手的控制装置（程序控制入B25J9/16）[2006.01],B25J13,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2008/3/26
,CN100389937C,双脚行走机器人,双脚行走机器人的上体(1)包括上体上部(5)和上体下部(6)，上体上部(5)和上体下部(6)可绕上下方向上转动轴心(C)相对转动地经由转动机构(13)被连结。上体下部(6)延设有两条腿部(2)，上体上部(5)两侧的肩部(14)延设有两只臂部(3)。该机器人的上体上部(5)于前后方向上的厚度(D)以及上体下部(6)于左右方向上的宽度Wd均小于肩部14于左右方向上的宽度(肩宽)(Wu)。另外，在机器人的上体上部(5)上搭载有作为机器人动作电源用的蓄电池装置(8)，在上体下部(6)上搭载有进行机器人动作控制的电路单元(11)。该机器人通过这样的构成，不会有损于作业等时的姿势的平稳性，并能提高机器人的作业能力。,-,-,本田技研工业株式会社,本田技研工业株式会社,2001/9/20,B25J5/00,装在车轮上或车厢上的机械手（B25J1/00优先；程序控制机械手入B25J9/00）[2006.01],-,CN1237467A | JP1993337849A | JP1995205069A | JP1996216066A | US5176560A | US5241875A | US5459659A | US6064167A,0,0,10,授权发明,-,-,未缴年费,-,2021/9/20,中国,双脚行走机器人的上体(1)包括上体上部(5)和上体下部(6)，上体上部(5)和上体下部(6)可绕上下方向上转动轴心(C)相对转动地经由转动机构(13)被连结。上体下部(6)延设有两条腿部(2)，上体上部(5)两侧的肩部(14)延设有两只臂部(3)。该机器人的上体上部(5)于前后方向上的厚度(D)以及上体下部(6)于左右方向上的宽度Wd均小于肩部14于左右方向上的宽度(肩宽)(Wu)。另外，在机器人的上体上部(5)上搭载有作为机器人动作电源用的蓄电池装置(8)，在上体下部(6)上搭载有进行机器人动作控制的电路单元(11)。该机器人通过这样的构成，不会有损于作业等时的姿势的平稳性，并能提高机器人的作业能力。,双脚行走机器人,装在车轮上或车厢上的机械手（B25J1/00优先；程序控制机械手入B25J9/00）[2006.01],B25J5,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2008/5/28
,CN100398268C,步行式移动机器人及其地面反作用力检测装置,一种步行式移动机器人及其地面反作用力检测装置，由于在弹性件(382)的内部或者其附近设置产生表示相对于第二关节(18、20)的脚部(22)的接地端位移的输出的位移传感器(70)，并且使用记录与上述位移相对应的在弹性件中产生的位移和应力的关系的模型，根据位移传感器的输出计算出作用在上述脚部上的地面反作用力，所以能以很高的精度计算出地面反作用力，从而能使步行式移动机器人(1)更加稳定地步行。此外，还可以组合不同种类的检测装置，构成双重传感器系统，以提高检测的可靠程度。还有，由于可以对位移传感器等是否劣化或者异常进行自我诊断，并且不设置温度传感器也能进行温度补偿，所以进一步提高了检测的可靠性。,-,-,本田技研工业株式会社,本田技研工业株式会社,2002/12/19,B25J5/00,装在车轮上或车厢上的机械手（B25J1/00优先；程序控制机械手入B25J9/00）[2006.01],-,JP1993264375A | JP1993305584A | JP1996052675A | JP1998277969A | JP2000254888A | JP2001264132A | JP2001322076A,0,0,9,授权发明,-,-,未缴年费,-,2022/12/19,中国,一种步行式移动机器人及其地面反作用力检测装置，由于在弹性件(382)的内部或者其附近设置产生表示相对于第二关节(18、20)的脚部(22)的接地端位移的输出的位移传感器(70)，并且使用记录与上述位移相对应的在弹性件中产生的位移和应力的关系的模型，根据位移传感器的输出计算出作用在上述脚部上的地面反作用力，所以能以很高的精度计算出地面反作用力，从而能使步行式移动机器人(1)更加稳定地步行。此外，还可以组合不同种类的检测装置，构成双重传感器系统，以提高检测的可靠程度。还有，由于可以对位移传感器等是否劣化或者异常进行自我诊断，并且不设置温度传感器也能进行温度补偿，所以进一步提高了检测的可靠性。,步行式移动机器人及其地面反作用力检测装置,装在车轮上或车厢上的机械手（B25J1/00优先；程序控制机械手入B25J9/00）[2006.01],B25J5,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2008/7/2
,CN100500358C,用于机器人辅助远程激光焊接的方法和装置,一种用于对金属板结构进行远程激光焊接的装置，包括人形机器人，在其腕部上安装了附属装置(3)，其携带有可使来自激光源的激光束聚焦的聚焦头，以及使聚焦激光束(F)的指向围绕一个摆动轴(8)摆动的装置。在焊接期间，机器人使附属装置(3)沿着给定的轨迹并在给定的速度下移动，而聚焦射束(F)的指向摆动成使得激光束所照射的结构区域(W)以不与机器人所携带的附属装置(3)的移动轨迹和速度直接相关的速度和/或轨迹移动。,-,-,康茂股份公司,康茂股份公司,2005/5/27,B23K26/20,.连接，(辐射能法钎焊入B23K1/005)[2014.01],-,CN1559743A | EP0440001B1 | EP0440002B1 | EP1228835A1 | EP1236535A2 | EP1238748A2 | US4825036A | US4967053A,0,0,13,授权发明,-,-,未缴年费,-,2025/5/27,中国,一种用于对金属板结构进行远程激光焊接的装置，包括人形机器人，在其腕部上安装了附属装置(3)，其携带有可使来自激光源的激光束聚焦的聚焦头，以及使聚焦激光束(F)的指向围绕一个摆动轴(8)摆动的装置。在焊接期间，机器人使附属装置(3)沿着给定的轨迹并在给定的速度下移动，而聚焦射束(F)的指向摆动成使得激光束所照射的结构区域(W)以不与机器人所携带的附属装置(3)的移动轨迹和速度直接相关的速度和/或轨迹移动。,用于机器人辅助远程激光焊接的方法和装置,"""用激光束加工，例如焊接、切割、或打孔〔2,3,2014.01〕 [2014.01]""",B23K26,B23K,钎焊或脱焊；焊接；用钎焊或焊接方法包覆或镀敷；局部加热切割，如火焰切割；用激光束加工,2009/6/17
,CN100503179C,以腿行走的机器人与对其动作的控制方法,在至少有一个转动关节(至少有两个自由度)的机器人中，为了执行在与外部世界或工作对象的闭合联系模式与开放联系模式之间的高速转换操作，每一肢设有为除去动态闭合误差的最低要求的被动自由度(如减速器的间隙)，并且对这一肢的可动范围进行适当控制。甚至在用于驱动相应关节的作动器没有办法获得扭力矩信号时，也可稳定实现在闭合联系模式与开放联系模式之间的高速转换操作。,-,-,索尼公司 | 山口仁一,索尼公司 | 山口仁一,2002/8/1,B25J5/00,装在车轮上或车厢上的机械手（B25J1/00优先；程序控制机械手入B25J9/00）[2006.01],-,US6220104B1,0,0,5,授权发明,-,-,期限届满,-,2022/8/1,中国,在至少有一个转动关节(至少有两个自由度)的机器人中，为了执行在与外部世界或工作对象的闭合联系模式与开放联系模式之间的高速转换操作，每一肢设有为除去动态闭合误差的最低要求的被动自由度(如减速器的间隙)，并且对这一肢的可动范围进行适当控制。甚至在用于驱动相应关节的作动器没有办法获得扭力矩信号时，也可稳定实现在闭合联系模式与开放联系模式之间的高速转换操作。,以腿行走的机器人与对其动作的控制方法,装在车轮上或车厢上的机械手（B25J1/00优先；程序控制机械手入B25J9/00）[2006.01],B25J5,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2009/6/24
,CN100504675C,学习设备和学习方法,本发明提供学习设备、学习方法和程序。一种学习设备包括：存储单元，其被配置为存储由多个各自保存动态状况的节点形成的网络；学习单元，其被配置为基于观察到的时序数据以自组织方式学习网络的动态状况；获胜节点确定器，其被配置为确定获胜节点，该获胜节点是具有与时序数据最匹配的动态状况的节点；以及权重确定器，其被配置为根据个体节点与获胜节点的距离，为由该个体节点保存的动态状况确定学习权重。学习单元按照与学习权重相对应的程度以自组织方式学习网络的动态状况。,-,-,索尼株式会社,索尼株式会社,2007/4/6,G05B13/02,. 电的[2006.01],-,JP1999126198A | JP2004353832A | JP2006105546A | US5307444A | US5724487A | US5870729A,0,0,4,授权发明,-,-,未缴年费,-,2027/4/6,中国,本发明提供学习设备、学习方法和程序。一种学习设备包括：存储单元，其被配置为存储由多个各自保存动态状况的节点形成的网络；学习单元，其被配置为基于观察到的时序数据以自组织方式学习网络的动态状况；获胜节点确定器，其被配置为确定获胜节点，该获胜节点是具有与时序数据最匹配的动态状况的节点；以及权重确定器，其被配置为根据个体节点与获胜节点的距离，为由该个体节点保存的动态状况确定学习权重。学习单元按照与学习权重相对应的程度以自组织方式学习网络的动态状况。,学习设备和学习方法,自适应控制系统，即系统按照一些预定的准则自动调整自己使之具有最佳性能的系统（G05B19/00优先）[2006.01],G05B13,G05B,一般的控制或调节系统；这种系统的功能单元；用于这种系统或单元的监视或测试装置（用于控制或调节非电变量的系统G05D)（用于调节电或磁变量的系统G05F)（仅以机械特征为特征的控制装置或系统G05G)[2006.01],2009/6/24
