公开(公告)号,标题,摘要,当前申请(专利权)人地市,当前申请(专利权)人州/省,当前申请(专利权)人,原始申请(专利权)人,申请日,IPC主分类号(小组),IPC主分类号(小组)释义,被引用专利,引用专利,5年内被引用数量,3年内被引用数量,Patsnap同族专利申请数量,专利类型,许可人,被许可人,法律状态/事件,当前申请(专利权)人区县,预估到期日,受理局,摘要(译)(简体中文),标题(译)(简体中文),IPC主分类号(大组)释义,IPC主分类号(大组),IPC主分类号(小类),IPC主分类号(小类)释义,授权日
CN118927294B,一种并联耦合式液压驱动机器人关节,一种并联耦合式液压驱动机器人关节，它涉及液压驱动机器人关节结构领域。本发明解决了现有的人形机器人存在侧摆关节转角小，传动复杂，运动驱动力小，运动不稳定的问题。本发明的液压缸筒为上下双缸筒结构，两个活塞分别可滑动地密封插装在液压缸筒的上侧缸筒和下侧缸筒中，两个传动杆一端分别通过两个转轴与两个活塞转动连接，两个传动杆另一端分别通过两个转轴与并排布置的两个转动杆上下两端转动连接，输出轴为花键轴，两个转动杆中部分别通过两个花键套安装在输出轴中部，液压缸筒前端两侧分别设有同轴布置的两个缸体轴套，输出轴两端分别与两个缸体轴套转动连接。本发明用于实现机器人腿部的侧摆自由度。,哈尔滨,黑龙江,哈尔滨工业大学,哈尔滨工业大学,2024-09-23,B25J17/00,接头[2006.01],-,CN115771580A | CN118322249A,0,0,1,授权发明,-,-,授权,南岗区,2044-09-23,中国,一种并联耦合式液压驱动机器人关节，它涉及液压驱动机器人关节结构领域。本发明解决了现有的人形机器人存在侧摆关节转角小，传动复杂，运动驱动力小，运动不稳定的问题。本发明的液压缸筒为上下双缸筒结构，两个活塞分别可滑动地密封插装在液压缸筒的上侧缸筒和下侧缸筒中，两个传动杆一端分别通过两个转轴与两个活塞转动连接，两个传动杆另一端分别通过两个转轴与并排布置的两个转动杆上下两端转动连接，输出轴为花键轴，两个转动杆中部分别通过两个花键套安装在输出轴中部，液压缸筒前端两侧分别设有同轴布置的两个缸体轴套，输出轴两端分别与两个缸体轴套转动连接。本发明用于实现机器人腿部的侧摆自由度。,一种并联耦合式液压驱动机器人关节,接头[2006.01],B25J17,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2025-09-23
CN218837822U,一种舵机,本实用新型涉及一种舵机，包括上壳体(1)、中壳体(2)、下壳体(3)、直流电机(21)以及相互啮合的齿轮组，该舵机整体呈Z字形，整个外形尺寸更小，但是输出扭矩不变，空间利用率更高。当该款舵机安装于机器人小臂处高度仿真还原动画片中的机器人的小臂的造型，更加适用于“细手臂”类型的人形机器人，壳体内部空间利用率更高。,北京,北京,乐森机器人(北京)有限公司,乐森机器人(北京)有限公司,2022-12-30,B25J17/00,接头[2006.01],-,CN207616609U,0,0,1,实用新型,-,-,授权,海淀区,2032-12-30,中国,本实用新型涉及一种舵机，包括上壳体(1)、中壳体(2)、下壳体(3)、直流电机(21)以及相互啮合的齿轮组，该舵机整体呈Z字形，整个外形尺寸更小，但是输出扭矩不变，空间利用率更高。当该款舵机安装于机器人小臂处高度仿真还原动画片中的机器人的小臂的造型，更加适用于“细手臂”类型的人形机器人，壳体内部空间利用率更高。,一种舵机,接头[2006.01],B25J17,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2023-04-11
CN120251674A,一种集成在机器人关节部位的少差齿减速器,本发明公开了一种集成在机器人关节部位的少差齿减速器，属于机器人关节驱动技术领域。包括输入系统、输出系统及反馈系统：所述输入系统包括驱动件和行星齿轮，所述驱动件驱动所述行星齿轮自转；所述输出系统包括固定齿圈箱体、输出齿圈及输出法兰，所述固定齿圈箱体和所述输出齿圈均与所述行星齿轮啮合，所述输出法兰与所述输出齿圈固定连接，其中，所述输出齿圈的齿数比所述固定齿圈箱体的固定齿圈的齿数少1‑4个齿；所述反馈系统与所述输出法兰连接，实时检测转速、扭矩及转角数据，并传输至机器人主控系统。本发明本发明体积小、扭矩密度高，适用于人形机器人及辅助医疗设备。,六安,安徽,六安永达机械股份有限公司,六安永达机械股份有限公司,2025-05-22,F16H1/32,.. 其中传动装置的中心轴线位于轨道齿轮的圆周之内[2006.01],CN121739062A,-,1,1,1,发明申请,-,-,实质审查,-,-,中国,本发明公开了一种集成在机器人关节部位的少差齿减速器，属于机器人关节驱动技术领域。包括输入系统、输出系统及反馈系统：所述输入系统包括驱动件和行星齿轮，所述驱动件驱动所述行星齿轮自转；所述输出系统包括固定齿圈箱体、输出齿圈及输出法兰，所述固定齿圈箱体和所述输出齿圈均与所述行星齿轮啮合，所述输出法兰与所述输出齿圈固定连接，其中，所述输出齿圈的齿数比所述固定齿圈箱体的固定齿圈的齿数少1‑4个齿；所述反馈系统与所述输出法兰连接，实时检测转速、扭矩及转角数据，并传输至机器人主控系统。本发明本发明体积小、扭矩密度高，适用于人形机器人及辅助医疗设备。,一种集成在机器人关节部位的少差齿减速器,传送旋转运动的齿轮传动装置（专用于以可变速比传送旋转运动或用于使旋转运动换向的入F16H3/00）[2006.01],F16H1,F16H,传动装置,-
CN114800600B,张拉整体式仿生肩关节系统及其运动轨迹规划方法,本发明涉及一种张拉整体式仿生肩关节系统及其运动轨迹规划方法，系统包括底板、定平台、动平台、主动受拉单元、被动受拉绳索单元、柔性拉簧单元、多组驱动单元和控制单元。仿生肩关节构件与被动受拉绳索单元整体为Y型结构，定平台与控制单元固定在底板上，动平台与定平台之间通过主动受拉单元、被动受拉绳索单元以及柔性拉簧单元连接，控制单元通过规划运动轨迹控制多组驱动单元实现仿生肩关节的外展内收、前屈后伸及外旋内旋运动。其针对传统结构存在的质量大、结构复杂、柔顺性差等缺点，将肩关节形态结构与张拉整体结构有机融合，通过仿生映射得到兼具自适应性和灵活性的仿生肩关节系统，其结构紧凑，控制方便，广泛应用于人形机器人关节。,东莞,广东,东莞理工学院,东莞理工学院,2022-06-14,B25J17/00,接头[2006.01],-,CA2408822A1 | CN103419200A | CN103895005A | US20170112580A1 | WO2021196381A1,0,0,1,授权发明,-,-,授权,-,2042-06-14,中国,本发明涉及一种张拉整体式仿生肩关节系统及其运动轨迹规划方法，系统包括底板、定平台、动平台、主动受拉单元、被动受拉绳索单元、柔性拉簧单元、多组驱动单元和控制单元。仿生肩关节构件与被动受拉绳索单元整体为Y型结构，定平台与控制单元固定在底板上，动平台与定平台之间通过主动受拉单元、被动受拉绳索单元以及柔性拉簧单元连接，控制单元通过规划运动轨迹控制多组驱动单元实现仿生肩关节的外展内收、前屈后伸及外旋内旋运动。其针对传统结构存在的质量大、结构复杂、柔顺性差等缺点，将肩关节形态结构与张拉整体结构有机融合，通过仿生映射得到兼具自适应性和灵活性的仿生肩关节系统，其结构紧凑，控制方便，广泛应用于人形机器人关节。,张拉整体式仿生肩关节系统及其运动轨迹规划方法,接头[2006.01],B25J17,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2024-05-14
CN120909547A,集成多种大语言模型的多模态人机交互优化系统,一种集成多种大语言模型的多模态人机交互优化系统，专注于智能人形机器人的人机交互领域。通过融合提示工程、自然语言处理和个性化角色配置等技术，显著提升了人机交互的灵活性、适应性和个性化水平。该技术利用多种大语言模型的优势，处理复杂对话逻辑，生成与人设、情绪、语境相适配的个性化语音、情绪、动作反馈，从而优化实时人机交互。具体实施包括语音唤醒单元、语音识别单元、函数调用单元、拟人对话单元、关键词匹配单元和语音合成单元，最终实现高度自然且沉浸的人机交互体验。本发明在语音识别准确性、响应速度、情绪动作表征及个性化互动等方面表现出优异性能，提供了更加生动、沉浸、个性化的用户体验。,上海,上海,灵童机器人(上海)有限公司,灵童机器人(上海)有限公司,2025-07-23,G06F3/16,. 声音输入；声音输出（语音处理入G10L）[2006.01],-,-,0,0,1,发明申请,-,-,实质审查,徐汇区,-,中国,一种集成多种大语言模型的多模态人机交互优化系统，专注于智能人形机器人的人机交互领域。通过融合提示工程、自然语言处理和个性化角色配置等技术，显著提升了人机交互的灵活性、适应性和个性化水平。该技术利用多种大语言模型的优势，处理复杂对话逻辑，生成与人设、情绪、语境相适配的个性化语音、情绪、动作反馈，从而优化实时人机交互。具体实施包括语音唤醒单元、语音识别单元、函数调用单元、拟人对话单元、关键词匹配单元和语音合成单元，最终实现高度自然且沉浸的人机交互体验。本发明在语音识别准确性、响应速度、情绪动作表征及个性化互动等方面表现出优异性能，提供了更加生动、沉浸、个性化的用户体验。,集成多种大语言模型的多模态人机交互优化系统,用于将所要处理的数据转变成为计算机能够处理的形式的输入装置；用于将数据从处理机传送到输出设备的输出装置，例如，接口装置[2006.01],G06F3,G06F,电数字数据处理（基于特定计算模型的计算机系统入 G06N） [2006.01],-
CN216067460U,一种舵机,本实用新型涉及一种舵机，包括上盖(1)、中盖(2)、下盖(3)、直流电机(21)以及相互啮合的齿轮组，所述下盖(3)的底部宽度小于中盖(2)和上盖(1)的宽度，当该款舵机安装于机器人肩膀处时进一步减小与关节U型件之间的间隙，更加适用于“细手臂”类型的人形机器人。,北京,北京,乐森机器人(北京)有限公司,北京森汉科技有限公司,2021-09-10,B25J9/10,. 以机械手元件定位装置为特征的[2006.01],US20230060468A1,CN207616609U,1,1,1,实用新型,-,-,授权,海淀区,2031-09-10,中国,本实用新型涉及一种舵机，包括上盖(1)、中盖(2)、下盖(3)、直流电机(21)以及相互啮合的齿轮组，所述下盖(3)的底部宽度小于中盖(2)和上盖(1)的宽度，当该款舵机安装于机器人肩膀处时进一步减小与关节U型件之间的间隙，更加适用于“细手臂”类型的人形机器人。,一种舵机,程序控制机械手[2006.01],B25J9,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2022-03-18
CN121674127A,一种润滑脂及其制备方法和应用,本发明公开了一种润滑脂及其制备方法和应用，所述润滑脂按重量百分比计包括：1.5‑2.5%有机摩擦改进剂、0.5‑1.0%无灰有机摩擦改进剂、0.5‑1.0%抗磨剂、0.8‑1.2%极压添加剂、7.0‑8.0%C12~C18羟基脂肪酸、2.0‑2.5%C6~C12二元羧酸、3.0‑3.5%油基氢氧化锂、0.1‑0.2%碱土金属氢氧化物、10‑20%Ⅴ类基础油，其余为Ⅳ类基础油。本发明能够有效的降低摩擦系数，使机器人润滑脂具有较低的摩擦系数，解决人形机器人关节精准运行控制问题；具有较好的耐高低温性能，适应在‑40~150℃环境下长时间工作，能够适应较宽的工作环境。,南京,江苏,江苏龙蟠新材料科技有限公司 | 江苏龙蟠科技集团股份有限公司,江苏龙蟠新材料科技有限公司 | 江苏龙蟠科技集团股份有限公司,2025-10-16,C10M169/00,以从包括在前述各组中的基料、增稠剂或添加剂中至少选择两类成分的混合物作组分为特征的润滑组合物，这些化合物的每一种均是主要成分[2006.01],-,-,0,0,1,发明申请,-,-,实质审查,-,-,中国,本发明公开了一种润滑脂及其制备方法和应用，所述润滑脂按重量百分比计包括：1.5‑2.5%有机摩擦改进剂、0.5‑1.0%无灰有机摩擦改进剂、0.5‑1.0%抗磨剂、0.8‑1.2%极压添加剂、7.0‑8.0%C12~C18羟基脂肪酸、2.0‑2.5%C6~C12二元羧酸、3.0‑3.5%油基氢氧化锂、0.1‑0.2%碱土金属氢氧化物、10‑20%Ⅴ类基础油，其余为Ⅳ类基础油。本发明能够有效的降低摩擦系数，使机器人润滑脂具有较低的摩擦系数，解决人形机器人关节精准运行控制问题；具有较好的耐高低温性能，适应在‑40~150℃环境下长时间工作，能够适应较宽的工作环境。,一种润滑脂及其制备方法和应用,以从包括在前述各组中的基料、增稠剂或添加剂中至少选择两类成分的混合物作组分为特征的润滑组合物，这些化合物的每一种均是主要成分[2006.01],C10M169,C10M,润滑组合物（钻井用组合物入C09K8/02）；在润滑组合物中化学物质或单独使用或用作润滑组分（脱模，即金属脱模剂入B22C3/00，一般塑料或塑态物质的脱模剂入B29C33/56，玻璃脱模剂入C03B40/02；纺织品润滑剂入D06M11/00、D06M13/00、D06M15/00；显微镜检查法用浸液油入G02B21/33）〔4〕[2006.01],-
CN120307257A,一种仿人体腿部运动的混联多自由度机械下肢,本发明涉及人形机器人领域，具体是一种仿人体腿部运动的混联多自由度机械下肢。目的是提供一种仿人体腿部运动的混联多自由度机械下肢，以便于灵活地实现机械下肢的位姿控制，带动整个机体运动获得想要的动作和位姿，有助于连接的机器人等在运动过程中保证平衡。技术方案是一种仿人体腿部运动的混联多自由度机械下肢，其特征在于：该混联多自由度机械下肢包括连接机械上肢的双腿连接结构以及通过可绕水平轴线转动的第一转动副连接所述双腿连接结构的两条机械单腿，所述机械单腿包括由上而下依次连接的髋关节、膝关节以及踝关节。,杭州,浙江,浙江理工大学,浙江理工大学,2025-04-17,B25J9/00,程序控制机械手[2006.01],-,CN119459928A,0,0,1,发明申请,-,-,实质审查,-,-,中国,本发明涉及人形机器人领域，具体是一种仿人体腿部运动的混联多自由度机械下肢。目的是提供一种仿人体腿部运动的混联多自由度机械下肢，以便于灵活地实现机械下肢的位姿控制，带动整个机体运动获得想要的动作和位姿，有助于连接的机器人等在运动过程中保证平衡。技术方案是一种仿人体腿部运动的混联多自由度机械下肢，其特征在于：该混联多自由度机械下肢包括连接机械上肢的双腿连接结构以及通过可绕水平轴线转动的第一转动副连接所述双腿连接结构的两条机械单腿，所述机械单腿包括由上而下依次连接的髋关节、膝关节以及踝关节。,一种仿人体腿部运动的混联多自由度机械下肢,程序控制机械手[2006.01],B25J9,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],-
CN121662528A,光电复合电缆的制造方法,本发明公开了一种光电复合电缆的制造方法，涉及电缆技术领域。该方法依次包括原材料选型预处理、导体退扭绞合、绝缘挤出、光纤单元预制、同步退扭成缆、屏蔽层施加及双层护套挤出成型等步骤。本发明在同步退扭成缆过程中引入在线光学状态监测机制，通过实时采集光纤光衰变化数据，构建“监测—判定—调节”的闭环控制系统，对光纤放线张力、退扭比及绞合节距等关键参数进行自动联动调节。此外，缆芯结构采用抗压垫片实现单元物理隔离，并配合反向双层绞合与分区温控挤出工艺。该方法有效解决了人形机器人电缆在严苛动态工况下的信号损耗波动与结构不稳定问题，显著提升了成品的耐弯折寿命、抗扭转能力及制造一致性。,上海,上海,上海统缆科技有限公司,上海统缆科技有限公司,2026-01-26,H01B13/32,. 用不透水材料填充或包覆[2006.01],-,-,0,0,1,发明申请,-,-,实质审查,闵行区,-,中国,本发明公开了一种光电复合电缆的制造方法，涉及电缆技术领域。该方法依次包括原材料选型预处理、导体退扭绞合、绝缘挤出、光纤单元预制、同步退扭成缆、屏蔽层施加及双层护套挤出成型等步骤。本发明在同步退扭成缆过程中引入在线光学状态监测机制，通过实时采集光纤光衰变化数据，构建“监测—判定—调节”的闭环控制系统，对光纤放线张力、退扭比及绞合节距等关键参数进行自动联动调节。此外，缆芯结构采用抗压垫片实现单元物理隔离，并配合反向双层绞合与分区温控挤出工艺。该方法有效解决了人形机器人电缆在严苛动态工况下的信号损耗波动与结构不稳定问题，显著提升了成品的耐弯折寿命、抗扭转能力及制造一致性。,光电复合电缆的制造方法,制造导体或电缆制造的专用设备或方法[2006.01],H01B13,H01B,电缆；导体；绝缘体；导电、绝缘或介电材料的选择（磁性材料的选择入H01F1/00；波导管入H01P）[2006.01],-
CN210984016U,一种教育机器人的行走机构,本实用新型公开了一种教育机器人的行走机构，包括前部和后部，前部和后部的底部设有悬崖传感器；前部的侧表面设有光源；前部的下表面设有清洁垫和雾化器；后部内部设有驱动系统；驱动系统连接有轮胎；轮胎包括两个相对的外边缘；两个外边缘之间的轮胎外表面设有花纹；花纹为凸起的胎面和沟槽相间设置；本实用新型适用于不易外形吸引被教育人注意力的非人形机器人，一般适用于小学低年级以及更小年龄段的教育。此移动机构通过轮胎以及轮胎上花纹的机构改进增加抓地能力；同时在行走机构的侧边增加灯光、水雾等吸引被教育者注意力的辅助教育机构。,广州,广东,广州新烨数码科技股份有限公司,广州新烨数码科技股份有限公司,2019-08-28,G09B25/02,. 工业生产过程的；机器的[2006.01],-,CN104271251A | CN108697866A,0,0,1,实用新型,-,-,授权 | 质押,黄埔区,2029-08-28,中国,本实用新型公开了一种教育机器人的行走机构，包括前部和后部，前部和后部的底部设有悬崖传感器；前部的侧表面设有光源；前部的下表面设有清洁垫和雾化器；后部内部设有驱动系统；驱动系统连接有轮胎；轮胎包括两个相对的外边缘；两个外边缘之间的轮胎外表面设有花纹；花纹为凸起的胎面和沟槽相间设置；本实用新型适用于不易外形吸引被教育人注意力的非人形机器人，一般适用于小学低年级以及更小年龄段的教育。此移动机构通过轮胎以及轮胎上花纹的机构改进增加抓地能力；同时在行走机构的侧边增加灯光、水雾等吸引被教育者注意力的辅助教育机构。,一种教育机器人的行走机构,用于在G09B23/00组中不包括的用途的模型，例如演示用的原尺寸装置（交通工具及其轨道模型、具有玩具性质的模型入A63H）[2006.01],G09B25,G09B,教育或演示用具；用于教学或与盲人、聋人或哑人通信的用具；模型；天象仪；地球仪；地图；图表[2006.01],2020-07-10
CN223848109U,一种以车代磨高刚性电主轴,本实用新型涉及电主轴技术领域，提供一种以车代磨高刚性电主轴，包括安装座，所述安装座的内部贯穿有外壳，所述外壳顶端的两侧均匀固定有散热翅片，所述外壳的内部设置有传动结构，所述传动结构包括固定于外壳内部的转子。本实用新型通过设置有传动结构，在主轴本体的作用下，可加工材料的硬度由45HRC提高到62HRC，且表面光洁度由Ra0.8μm降低到Ra0.15μm，提高了2个等级以上，通过主轴本体实现了以车代磨的性能，降低了人形机器人量产所需的磨床等设备的投入成本和加工成本，大幅提高了零件加工效率，实现了该装置便于提高零件加工效率的功能，从而提高了该以车代磨高刚性电主轴在使用时的工作效率。,苏州,江苏,威米精密机械(苏州)有限公司,威米精密机械(苏州)有限公司,2025-03-21,B23B19/02,.工作主轴；与其有关的部件，如支承装置（B23B13/00优先）[2006.01],-,-,0,0,1,实用新型,-,-,授权,吴江区,2035-03-21,中国,本实用新型涉及电主轴技术领域，提供一种以车代磨高刚性电主轴，包括安装座，所述安装座的内部贯穿有外壳，所述外壳顶端的两侧均匀固定有散热翅片，所述外壳的内部设置有传动结构，所述传动结构包括固定于外壳内部的转子。本实用新型通过设置有传动结构，在主轴本体的作用下，可加工材料的硬度由45HRC提高到62HRC，且表面光洁度由Ra0.8μm降低到Ra0.15μm，提高了2个等级以上，通过主轴本体实现了以车代磨的性能，降低了人形机器人量产所需的磨床等设备的投入成本和加工成本，大幅提高了零件加工效率，实现了该装置便于提高零件加工效率的功能，从而提高了该以车代磨高刚性电主轴在使用时的工作效率。,一种以车代磨高刚性电主轴,主轴箱；任何机床的与其相应部件[2006.01],B23B19,B23B,车削；镗削（用电极代替工具入B23H，例如加工孔入B23H9/14；用激光束加工入B23K26/00；仿形或控制装置入B23Q）,2026-01-30
CN108673492A,基于网页控制的模块化软体机器人系统,本发明公开了一种基于网页控制的模块化软体机器人系统，模块化软体机器人的主要模块有能够实现0到360度弯曲的软体模块I、能够伸缩的软体模块II、由舵机构成的转向器模块、电磁铁、机械爪等。每个模块都内嵌有独立的控制模块，控制模块中有微处理器、电机驱动板、WiFi收发器等电路模块。每个模块通过WiFi与服务器通信，最终呈现在网页上，能够使用网页对各个模块联合控制和监视。软体模块主要由减速电机带动尼龙绳作用在硅胶软体躯干的两侧使之弯曲。能够利用这些模块以及一些结构件拼装出爬铁墙机器人、爬树机器人、爬管子机器人、人形机器人、蛇形机器人等数十种机器人，拼装出的机器人不需要额外的电路连接只需要在网页上更改控制程序即可。,北京,北京,北京航空航天大学,北京航空航天大学,2018-05-29,B25J9/12,.. 电的[2006.01],CN109732578A | CN109732578B | CN114179932A,-,3,2,1,发明申请,-,-,撤回-主动撤回,海淀区,-,中国,本发明公开了一种基于网页控制的模块化软体机器人系统，模块化软体机器人的主要模块有能够实现0到360度弯曲的软体模块I、能够伸缩的软体模块II、由舵机构成的转向器模块、电磁铁、机械爪等。每个模块都内嵌有独立的控制模块，控制模块中有微处理器、电机驱动板、WiFi收发器等电路模块。每个模块通过WiFi与服务器通信，最终呈现在网页上，能够使用网页对各个模块联合控制和监视。软体模块主要由减速电机带动尼龙绳作用在硅胶软体躯干的两侧使之弯曲。能够利用这些模块以及一些结构件拼装出爬铁墙机器人、爬树机器人、爬管子机器人、人形机器人、蛇形机器人等数十种机器人，拼装出的机器人不需要额外的电路连接只需要在网页上更改控制程序即可。,基于网页控制的模块化软体机器人系统,程序控制机械手[2006.01],B25J9,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],-
CN220401627U,一种驱动、控制模块化的直流有刷电机系统,一种驱动、控制模块化的直流有刷电机系统，包括：直流电源、总控制器、电机控制器、驱动器和直流有刷电机；驱动器以H桥电路为核心电路；总控制器和电机控制器都是以单片机为核心电路，总控制器和电机控制器之间通信；一个驱动器和一个直流有刷电机构成一组终端模块；终端模块有多组；电机控制器的位置在位于终端模块，且一个电机控制器对应控制一个或多个终端模块。本实用新型的结构可以减少人形机器人等结构的内部导线数量，减少物理干涉以及提高可靠性，且终端模块可扩展。,无锡,江苏,施凯宸,施凯宸,2023-06-14,H02P7/18,.. 用有辅助动力的主令控制的[2006.01],-,-,0,0,1,实用新型,-,-,授权,滨湖区,2033-06-14,中国,一种驱动、控制模块化的直流有刷电机系统，包括：直流电源、总控制器、电机控制器、驱动器和直流有刷电机；驱动器以H桥电路为核心电路；总控制器和电机控制器都是以单片机为核心电路，总控制器和电机控制器之间通信；一个驱动器和一个直流有刷电机构成一组终端模块；终端模块有多组；电机控制器的位置在位于终端模块，且一个电机控制器对应控制一个或多个终端模块。本实用新型的结构可以减少人形机器人等结构的内部导线数量，减少物理干涉以及提高可靠性，且终端模块可扩展。,一种驱动、控制模块化的直流有刷电机系统,用于调节或控制直流电动机的速度或转矩的装置[2016.01],H02P7,H02P,电动机、发电机或机电变换器的控制或调节；控制变压器、电抗器或扼流圈〔4〕[2006.01],2024-01-26
CN117629472B,柔性压力传感器、制备方法、应用和智能触觉感知系统,本申请公开了一种柔性压力传感器、制备方法、应用和智能触觉感知系统，属于柔性压力传感器技术领域。该柔性压力传感器包括从上至下依次贴合设置的PI薄膜层、CMCS/MXene海绵层、电极层和PET薄膜层。该柔性压力传感器具有简易的高性能敏感层和柔性可穿戴的特点，灵敏度高，响应速度快，响应时间和恢复时间短，检测量程大，从而能够准确灵敏地感知压力，在运动检测、手势识别、触觉感知、电子皮肤和机器人具有很大的应用前景。,青岛,山东,中国石油大学(华东),中国石油大学(华东),2023-11-24,G01L1/22,.. 利用电阻应变仪[2006.01],-,-,0,0,1,授权发明,-,-,授权,黄岛区,2043-11-24,中国,本申请公开了一种柔性压力传感器、制备方法、应用和智能触觉感知系统，属于柔性压力传感器技术领域。该柔性压力传感器包括从上至下依次贴合设置的PI薄膜层、CMCS/MXene海绵层、电极层和PET薄膜层。该柔性压力传感器具有简易的高性能敏感层和柔性可穿戴的特点，灵敏度高，响应速度快，响应时间和恢复时间短，检测量程大，从而能够准确灵敏地感知压力，在运动检测、手势识别、触觉感知、电子皮肤和机器人具有很大的应用前景。,柔性压力传感器、制备方法、应用和智能触觉感知系统,力或应力的一般计量（测量由于冲击产生的力入G01L5/00）[2006.01],G01L1,G01L,测量力、应力、转矩、功、机械功率、机械效率或流体压力（称量入G01G）[2006.01],2024-10-11
CN107718041A,一种机器人肩关节,本发明提供一种机器人肩关节，其特征是：伺服电机(8)安装在基座(3)上，驱动杆(7)的一端通过安装孔与伺服电机(8)的转动轴固联，驱动杆(7)的另一端通过第一转动副铰链(5)与从动杆(4)的一端相连，从动杆(4)的另一端通过第二转动副铰链(6)与运动平台(1)相连；三条运动支链(2)中的三个伺服电机(8)的转动轴轴线在空间互相垂直，三个从动杆(4)与运动平台(1)相连的三个第二转动副铰链(6)的转轴轴线在空间互相垂直。运动平台(1)可与机械手臂相连，通过三个伺服电机(8)分别驱动对应驱动杆(7)，可实现运动平台(1)的三维转动。本发明具有结构简单、承载能力强、响应速度快和工艺性好等优点，适合作人形机器人的肩关节。,长沙,湖南,长沙展朔轩兴信息科技有限公司,长沙展朔轩兴信息科技有限公司,2017-10-12,B25J17/00,接头[2006.01],CN110091311A,CN101104269A,1,1,1,发明申请,-,-,撤回-视为撤回,-,-,中国,本发明提供一种机器人肩关节，其特征是：伺服电机(8)安装在基座(3)上，驱动杆(7)的一端通过安装孔与伺服电机(8)的转动轴固联，驱动杆(7)的另一端通过第一转动副铰链(5)与从动杆(4)的一端相连，从动杆(4)的另一端通过第二转动副铰链(6)与运动平台(1)相连；三条运动支链(2)中的三个伺服电机(8)的转动轴轴线在空间互相垂直，三个从动杆(4)与运动平台(1)相连的三个第二转动副铰链(6)的转轴轴线在空间互相垂直。运动平台(1)可与机械手臂相连，通过三个伺服电机(8)分别驱动对应驱动杆(7)，可实现运动平台(1)的三维转动。本发明具有结构简单、承载能力强、响应速度快和工艺性好等优点，适合作人形机器人的肩关节。,一种机器人肩关节,接头[2006.01],B25J17,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],-
